,city_name,date,latitude,longitude,temp,humidity,cloudiness,wind,country
87,carnarvon,1600658194,-24.87,113.63,66.2,42,0,20.8,AU
88,nampa,1600658286,43.54,-116.56,65.66,55,0,5.84,US
89,pisco,1600658263,-13.7,-76.22,60.89,87,28,14.99,PE
90,tazovskiy,1600658437,67.47,78.7,48.56,89,94,16.8,RU
91,kungurtug,1600657963,50.6,97.52,55.0,42,10,0.96,RU
92,te anau,1600658438,-45.42,167.72,51.96,64,20,9.64,NZ
93,half moon bay,1600658206,37.46,-122.43,65.46,100,90,4.7,US
94,acapulco,1600658131,16.86,-99.89,82.4,83,40,2.24,MX
95,husavik,1600658438,66.04,-17.34,35.6,93,90,3.36,IS
96,kohlu,1600658438,29.9,69.25,80.91,19,0,3.09,PK
97,khasan,1600658439,42.43,130.64,63.7,61,9,5.48,RU
98,crib point,1600658439,-38.35,145.2,62.64,71,81,4.0,AU
99,grindavik,1600658200,63.84,-22.43,41.0,65,40,13.87,IS
100,uhlove,1600658440,44.82,33.6,59.36,57,0,10.69,UA
101,bilibino,1600658208,68.05,166.44,39.04,70,36,4.74,RU
102,yulara,1600658239,-25.24,130.99,71.6,13,0,6.93,AU
103,tiksi,1600658195,71.69,128.87,47.57,62,20,15.9,RU
104,mount isa,1600658197,-20.73,139.5,96.8,25,40,14.99,AU
105,sao filipe,1600658192,14.9,-24.5,78.84,79,100,1.54,CV
106,tautira,1600658212,-17.73,-149.15,84.2,58,75,8.05,PF
107,bluff,1600658185,-46.6,168.33,64.0,41,80,8.99,NZ
108,sobolevo,1600658441,54.43,31.9,41.49,93,84,6.44,RU
109,songjianghe,1600658441,42.19,127.48,62.42,55,92,2.15,CN
110,ilave,1600658442,-16.08,-69.67,46.13,66,91,0.98,PE
111,awbari,1600658442,26.59,12.78,72.39,35,0,7.02,LY
112,quatre cocos,1600658295,-20.21,57.76,72.84,73,40,17.22,MU
113,virginia beach,1600658177,36.85,-75.98,62.04,48,40,17.22,US
114,yambio,1600658216,4.57,28.4,66.9,95,92,2.82,SS
115,san patricio,1600658185,19.22,-104.7,81.14,78,92,7.43,MX
116,saint anthony,1600658443,45.02,-93.22,66.16,42,1,14.99,US
117,san cristobal,1600657990,7.77,-72.22,65.05,90,92,2.1,VE
118,kayes,1600658443,14.0,-11.0,73.42,70,100,11.61,ML
119,saskylakh,1600657859,71.92,114.08,48.56,68,86,9.93,RU
120,talnakh,1600658214,69.49,88.4,46.4,87,75,26.84,RU
121,mahebourg,1600658229,-20.41,57.7,71.6,73,40,17.22,MU
122,lipari,1600658444,38.47,14.95,73.24,57,20,4.7,IT
123,atar,1600658191,20.52,-13.05,82.71,55,83,3.09,MR
124,guerrero negro,1600658295,27.98,-114.06,75.42,69,0,14.92,MX
125,hami,1600658445,42.8,93.45,74.05,20,100,9.69,CN
126,port alfred,1600658188,-33.59,26.89,56.95,63,12,24.87,ZA
127,ihiala,1600658445,5.85,6.86,72.18,96,100,2.37,NG
128,san quintin,1600658446,30.48,-115.95,70.21,81,0,11.97,MX
129,pochutla,1600658446,15.74,-96.47,80.8,78,75,3.58,MX
130,maranding,1600658401,7.92,123.77,84.34,80,100,5.17,PH
131,upernavik,1600658191,72.79,-56.15,29.05,90,97,8.48,GL
132,soltsy,1600658447,58.12,30.32,48.47,82,97,9.08,RU
133,nanga eboko,1600658447,4.68,12.37,65.66,97,96,3.38,CM
134,dong hoi,1600658426,17.48,106.6,86.14,67,96,2.39,VN
135,uribia,1600658447,11.71,-72.27,83.77,71,27,4.85,CO
136,anori,1600658448,-3.77,-61.64,83.07,51,49,0.89,BR
