,city_name,date,latitude,longitude,temp,humidity,cloudiness,wind,country
388,boca do acre,1600658514,-8.75,-67.4,75.49,90,100,2.82,BR
389,ugoofaaru,1600658231,5.67,73.0,82.02,79,100,15.46,MV
390,marfino,1600658515,55.7,37.38,43.3,87,100,11.18,RU
391,beringovskiy,1600658515,63.05,179.32,42.91,71,80,20.62,RU
392,poum,1600658276,-20.23,164.02,72.75,63,0,5.28,NC
393,ocampo,1600658516,21.65,-101.5,57.0,77,10,9.8,MX
394,oxford,1600658301,51.75,-1.26,51.17,93,0,2.24,GB
395,brookhaven,1600658516,31.58,-90.44,70.34,78,100,9.73,US
396,labuhan,1600658265,-6.88,112.21,90.25,50,16,2.98,ID
397,ulladulla,1600658517,-35.35,150.47,80.35,37,20,16.11,AU
398,tahe,1600658191,52.33,124.73,58.21,48,100,4.05,CN
399,gat,1600658517,31.61,34.76,72.99,84,0,4.36,IL
400,reyes,1600658517,-14.32,-67.38,75.45,64,81,2.57,BO
401,paine,1600658518,-33.82,-70.75,57.0,81,0,8.05,CL
402,gushikawa,1600658329,26.35,127.87,80.24,83,90,11.41,JP
403,shelburne,1600658518,44.08,-80.2,42.71,86,1,6.29,CA
404,senneterre,1600658518,48.38,-77.23,50.0,61,75,8.05,CA
405,sambava,1600658518,-14.27,50.17,67.48,85,3,10.0,MG
406,biltine,1600658519,14.53,20.92,79.3,65,71,8.01,TD
407,maple creek,1600658519,49.92,-109.48,57.51,58,89,9.98,CA
408,umm lajj,1600658216,25.02,37.27,86.27,35,80,6.44,SA
409,nioro,1600658284,13.35,-15.75,74.59,92,26,2.55,GM
410,mazamari,1600658520,-11.33,-74.53,70.79,74,66,2.08,PE
411,pangody,1600658520,65.85,74.49,50.95,86,97,19.69,RU
412,yurimaguas,1600658520,-5.9,-76.08,76.86,80,60,1.61,PE
413,hirado,1600658521,33.36,129.55,77.07,39,75,16.11,JP
414,zelenogorsk,1600658521,56.11,94.59,55.02,78,95,5.46,RU
415,partenit,1600658521,44.58,34.34,63.59,53,0,9.55,UA
416,tabou,1600658522,4.42,-7.35,75.49,89,100,10.38,CI
417,assiniboia,1600658522,49.63,-105.98,56.89,75,100,26.46,CA
418,islamnagar,1600658522,28.33,78.72,87.28,58,16,2.37,IN
419,luanda,1600658075,-8.84,13.23,71.6,88,75,2.24,AO
420,vetluga,1600658523,57.86,45.78,39.69,91,100,8.19,RU
421,kananga,1600658523,-5.9,22.42,70.25,93,100,2.91,CD
422,dalen,1600658523,52.7,6.76,49.08,88,0,1.99,NL
423,katsuura,1600658343,35.13,140.3,73.27,78,75,3.36,JP
424,iringa,1600658524,-7.77,35.7,52.43,92,0,3.4,TZ
425,kidodi,1600658524,-7.6,37.0,67.46,82,21,1.54,TZ
426,huron,1600658524,41.15,-82.55,47.48,84,0,7.07,US
427,ilorin,1600658525,8.5,4.55,69.82,93,79,4.05,NG
428,pacific grove,1600658256,36.62,-121.92,60.15,98,5,3.76,US
429,ixtapa,1600657963,20.7,-105.2,80.29,88,75,3.56,MX
430,swindon,1600658525,51.56,-1.78,51.6,100,75,5.82,GB
431,lavrentiya,1600658277,65.58,-171.0,39.6,73,96,14.58,RU
432,kosmynino,1600658526,57.58,40.76,44.6,87,75,13.42,RU
433,san jose de sisa,1600658526,-6.62,-76.69,71.73,82,30,4.23,PE
434,turukhansk,1600658245,65.82,87.98,50.31,89,100,16.26,RU
435,harrisburg,1600658327,40.27,-76.88,47.19,57,1,3.13,US
436,si racha,1600658527,13.17,100.93,85.48,99,100,5.64,TH
437,mayskiy,1600658527,47.69,40.1,39.2,64,0,2.24,RU
438,rongcheng,1600658338,30.63,117.85,61.65,86,100,2.91,CN
439,nacala,1600658528,-14.54,40.67,68.63,82,18,2.3,MZ
440,haines junction,1600658191,60.75,-137.51,43.02,62,81,1.97,CA
441,zhezkazgan,1600658337,47.8,67.71,44.6,65,90,11.18,KZ
442,skibbereen,1600658270,51.55,-9.27,51.8,93,20,5.82,IE
443,finote selam,1600658529,10.7,37.27,55.87,93,100,2.04,ET
444,kidal,1600658529,18.44,1.41,88.32,17,0,8.81,ML
445,boguchany,1600658530,58.38,97.45,48.51,82,97,4.05,RU
446,kirkwall,1600658530,58.98,-2.96,48.2,93,98,1.12,GB
447,kayerkan,1600658530,69.35,87.76,46.4,87,75,26.84,RU
448,denpasar,1600658531,-8.65,115.22,83.32,70,92,7.85,ID
449,sovetskaya gavan,1600658531,48.97,140.29,56.41,69,89,5.12,RU
450,simoes,1600658531,-7.6,-40.82,75.81,36,39,6.04,BR
451,amahai,1600658532,-3.33,128.92,83.88,70,4,5.37,ID
452,buraydah,1600658532,26.33,43.98,73.4,38,0,4.7,SA
453,weyburn,1600658532,49.67,-103.85,57.99,75,100,28.99,CA
454,brae,1600658361,60.4,-1.35,53.6,93,99,16.11,GB
455,manzanillo,1600658533,20.34,-77.12,78.26,86,8,5.01,CU
456,sola,1600658263,-13.88,167.55,79.07,81,82,18.34,VU
457,vila velha,1600658200,-20.33,-40.29,75.09,78,90,8.05,BR
458,ziyang,1600658533,29.25,117.85,65.68,85,100,4.63,CN
459,marathon,1600658534,44.9,-89.77,55.18,58,1,8.05,US
460,salinas,1600658534,36.68,-121.66,60.82,87,1,10.29,US
461,novobirilyussy,1600658534,56.95,90.67,55.53,79,36,4.94,RU
462,bako,1600658535,5.78,36.57,61.75,88,10,4.16,ET
463,farafangana,1600658535,-22.82,47.83,65.37,87,2,8.43,MG
464,chlorakas,1600658536,34.8,32.41,67.96,83,0,6.93,CY
465,nassjo,1600658536,57.65,14.7,50.0,100,56,8.05,SE
466,sinnamary,1600658197,5.38,-52.95,79.81,85,0,8.68,GF
467,arlit,1600658346,18.74,7.39,89.53,16,0,6.29,NE
468,rondonopolis,1600658537,-16.47,-54.64,79.29,51,99,1.61,BR
469,berja,1600658537,36.85,-2.95,65.1,88,20,3.36,ES
470,ancud,1600658201,-41.87,-73.82,44.71,35,85,1.01,CL
471,sal rei,1600658537,16.18,-22.92,78.8,88,75,8.05,CV
472,olinda,1600658206,-8.01,-34.86,78.8,74,40,9.17,BR
473,egvekinot,1600658538,66.32,-179.17,38.12,75,55,10.27,RU
474,vazhiny,1600658538,60.96,34.02,48.63,92,100,8.59,RU
475,chernyshevskiy,1600658538,63.01,112.47,49.3,72,22,2.93,RU
476,lengshuijiang,1600658539,27.69,111.43,68.31,81,100,1.39,CN
477,flin flon,1600658539,54.77,-101.86,57.11,87,100,5.03,CA
478,bocana de paiwas,1600658539,12.79,-85.12,73.83,89,94,3.24,NI
479,muisne,1600658539,0.6,-80.03,73.78,85,78,10.18,EC
480,monrovia,1600658247,6.3,-10.8,76.71,87,100,7.72,LR
481,anjozorobe,1600658540,-18.4,47.87,48.2,100,20,3.36,MG
482,pokhara,1600658367,28.23,83.98,82.2,59,8,2.62,NP
483,prado,1600658540,-17.34,-39.22,73.38,89,19,8.66,BR
484,gaillac,1600658541,43.9,1.9,62.01,88,90,2.24,FR
485,mamou,1600658541,10.5,-12.0,68.52,90,99,2.04,GN
486,saint-francois,1600658541,46.42,3.91,61.36,100,95,1.12,FR
487,gayny,1600658542,60.31,54.32,33.73,93,75,9.66,RU
488,andapa,1600658542,-14.65,49.65,59.04,90,12,2.08,MG
489,desna,1600658542,50.93,30.76,42.04,100,0,2.24,UA
490,urucui,1600658542,-7.23,-44.56,79.93,38,1,3.67,BR
491,bom sucesso,1600658543,-21.03,-44.76,64.09,91,99,7.99,BR
492,potosi,1600658543,-19.58,-65.75,42.82,56,24,4.29,BO
493,qinzhou,1600658543,21.95,108.62,87.03,68,82,7.23,CN
494,arrifes,1600658550,37.77,-25.7,66.2,82,75,11.41,PT
495,batagay-alyta,1600658209,67.8,130.41,50.09,47,0,0.87,RU
496,dakoro,1600658550,14.51,6.76,80.6,68,18,16.4,NE
497,colorado,1600658465,-22.84,-51.97,68.14,85,39,8.57,BR
498,grand-santi,1600658551,4.25,-54.38,74.05,93,40,2.91,GF
499,razole,1600658283,16.48,81.83,76.95,93,100,8.16,IN
500,vydrino,1600658551,51.48,104.85,53.44,59,100,2.57,RU
501,san lorenzo,1600658552,-25.33,-57.53,62.6,48,75,11.41,PY
502,dunedin,1600658271,-45.87,170.5,51.01,85,0,17.0,NZ
503,upata,1600658552,8.01,-62.4,82.0,83,19,1.01,VE
504,santa isabel,1600658552,-23.32,-46.22,62.04,82,90,6.93,BR
505,clarence town,1600658553,-32.58,151.78,81.28,61,75,8.05,AU
506,suicheng,1600658553,33.9,117.93,72.41,67,100,4.21,CN
507,marzuq,1600658200,14.4,46.47,75.4,44,8,1.68,YE
508,talcahuano,1600658553,-36.72,-73.12,50.0,100,0,6.93,CL
509,kirakira,1600658554,-10.45,161.92,82.26,78,53,10.56,SB
510,kropotkin,1600658554,45.44,40.58,52.48,58,5,11.25,RU
511,mount gambier,1600658243,-37.83,140.77,60.8,51,62,21.92,AU
512,coos bay,1600658554,43.37,-124.22,61.21,82,1,6.93,US
513,bagotville,1600658554,-28.98,153.42,86.25,57,0,16.11,AU
514,santa lucia,1600658259,27.91,-15.54,72.18,78,20,23.04,ES
515,naantali,1600658555,60.47,22.02,44.4,100,46,3.36,FI
516,port hardy,1600658217,50.7,-127.42,53.6,93,90,6.93,CA
517,emiliano zapata,1600658555,18.83,-99.18,67.15,93,90,9.17,MX
518,rubio,1600658556,7.7,-72.36,68.09,84,97,2.59,VE
519,constitucion,1600658221,-35.33,-72.42,52.09,77,0,0.51,CL
520,ishurdi,1600658556,24.13,89.08,82.45,86,100,10.92,BD
521,kosh-agach,1600658556,50.0,88.67,49.37,48,0,4.85,RU
522,vuktyl,1600658248,63.86,57.31,35.35,93,100,10.49,RU
523,moissala,1600658557,8.34,17.77,69.96,98,99,3.53,TD
524,matamba,1600658557,-8.98,33.97,52.18,79,0,3.6,TZ
525,finschhafen,1600658557,-6.6,147.87,84.33,66,98,8.88,PG
526,yarada,1600658558,17.65,83.27,80.6,94,90,2.24,IN
527,meiktila,1600658558,20.87,95.87,78.69,85,98,16.82,MM
528,bahir dar,1600658558,11.59,37.39,56.55,87,18,3.74,ET
529,manaure,1600658558,11.78,-72.44,83.08,76,55,6.29,CO
530,requena,1600658560,39.49,-1.1,55.99,85,46,6.51,ES
531,pitimbu,1600658560,-7.47,-34.81,75.2,88,40,5.82,BR
532,ishigaki,1600658560,24.34,124.16,86.0,74,40,21.92,JP
533,wajima,1600658561,37.4,136.9,71.6,60,75,5.82,JP
534,sistranda,1600658246,63.73,8.83,53.6,87,75,9.17,NO
535,abu samrah,1600658561,35.3,37.18,64.94,46,0,2.64,SY
536,oistins,1600658561,13.07,-59.53,82.4,83,20,8.05,BB
537,ajdabiya,1600658572,30.76,20.23,68.31,78,0,6.2,LY
538,upington,1600658051,-28.45,21.26,46.4,70,33,9.17,ZA
539,hailar,1600658477,49.2,119.7,48.04,89,100,6.17,CN
540,qasigiannguit,1600658572,68.82,-51.19,28.4,92,100,4.41,GL
541,henties bay,1600658257,-22.12,14.28,50.0,94,14,1.99,NA
542,pangnirtung,1600658278,66.15,-65.71,31.84,88,94,1.14,CA
543,mengcheng,1600658573,33.26,116.57,68.76,77,100,5.14,CN
544,dortyol,1600658573,36.86,36.23,75.99,66,30,1.88,TR
545,negombo,1600658574,7.21,79.84,80.56,81,100,15.75,LK
546,kushima,1600658574,31.46,131.23,76.66,39,40,20.8,JP
547,nemuro,1600658272,43.32,145.57,68.0,77,75,5.82,JP
548,marshalltown,1600658574,42.05,-92.91,57.07,62,1,16.11,US
549,moree,1600658314,-29.47,149.85,77.0,61,90,10.29,AU
550,sokoto,1600658575,13.06,5.24,75.79,81,7,9.46,NG
551,havelock,1600658575,34.88,-76.9,62.17,63,1,18.34,US
552,kurchum,1600658575,48.57,83.65,64.02,33,0,4.34,KZ
553,petatlan,1600658576,17.52,-101.27,77.67,88,65,3.29,MX
554,poronaysk,1600658576,49.22,143.12,56.39,67,0,5.06,RU
555,sosnovo-ozerskoye,1600658576,52.52,111.54,45.64,66,89,14.83,RU
556,margate,1600658211,51.38,1.39,58.33,95,0,1.01,GB
557,zhanakorgan,1600658577,43.91,67.25,54.48,54,0,6.33,KZ
558,punta cardon,1600658300,11.66,-70.22,84.11,77,75,18.7,VE
559,yeppoon,1600658578,-23.13,150.73,87.8,40,0,9.17,AU
560,chimore,1600658578,-16.98,-65.13,74.62,70,70,2.37,BO
561,san juan,1600658330,-31.54,-68.54,57.97,33,0,7.85,AR
562,ikalamavony,1600658578,-21.15,46.58,54.32,74,0,4.81,MG
